Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id186,strawberry &amp; pistachio breton tart,bread,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",veg,vitamin_a, scurvy kidney_disease, high_protien_diet low_fat_diet,34.72
meal_id187,tricolour pizza,bread,"pizza base , pizza sauce, mozzarella cheese, black olive, green capsicum, carrots, olive oil",veg,sodium, goitre, vegan_diet,21.28
meal_id188,instant rava dosa,bread,"rava/suji/semolina, rice flour, all purpose flour, fresh coconut (pieces), jeera, green chilli, dhaniya, onion (diced), salt, water, oil, ghee/clarified butter",veg,iron, rickets, vegan_diet low_fat_diet high_fiber_diet,20.72
meal_id189,easy bread poha,bread,"oil, hing, mustard seeds, curry leaves, whole red chillies, cookes peas, peanuts, turmeric powder, salt, bread, green chillies, lemon juice, coriander leaves, dessicated coconut",veg,iron, hypertension heart_disease eye_disease rickets goitre obesity, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,31.92
meal_id190,bread chana basket,bread,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt",veg,chloride, heart_disease, dash_diet Mediterranean_diet,33.6
meal_id191,spaghetti with clams &amp; crispy bread crumbs,bread,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper,  garlic cloves,  manila clams or cockles, scrubbed, dry white wine,  spaghetti,  lemon zest,  lemon juice,  mullet bottarga (optional; see note),   red pepper,  thyme,  rosemary,  parsley",veg,iron, heart_disease, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,30.240000000000002
meal_id192,kasha bread,bread,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts",veg,selenium, heart_disease, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet dash_diet,29.400000000000002
meal_id193,egg paratha,bread,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala",non-veg,vitamin_a, hypertension rickets goitre kidney_disease pregnancy diabeties, low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet,21.0
meal_id194,egg and cheddar cheese sandwich,bread,"egg, salt, pepper, ham slices, basil leaves",non-veg,vitamin_a, pregnancy hypertension eye_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet,32.76
meal_id195,egg in a blanket,bread,"eggs, brown bread slices, butter, chilli flakes, oregano, salt",non-veg,vitamin_a, hypertension rickets goitre kidney_disease pregnancy diabeties, low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet,13.16
meal_id196,bread dahi vada,bread,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana",veg,chloride, heart_disease, dash_diet Mediterranean_diet,25.2
meal_id43,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, vegan_diet low_fat_diet ketogenic_diet,27.16
meal_id62,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, obesity diabeties, vegan_diet low_fat_diet ketogenic_diet hormone_diet,21.0
meal_id63,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",veg,magnesium, goitre hypertension heart_disease, high_protien_diet vegan_diet high_fiber_diet,17.64
meal_id199,lemon poppy seed cake,cake,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry",veg,potassium, scurvy, high_protien_diet low_fat_diet high_fiber_diet ketogenic_diet,21.28
meal_id64,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,26.6
meal_id65,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, anemia hypertension scurvy heart_disease rickets kidney_disease obesity, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,14.280000000000001
meal_id68,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",veg,vitamin_d, kidney_disease, low_fat_diet,11.48
meal_id51,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,36.68
meal_id5,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, goitre kidney_disease, high_protien_diet,11.48
meal_id53,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,14.0
meal_id163,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, anemia pregnancy cancer scurvy kidney_disease obesity diabeties, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,19.04
meal_id200,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",veg,vitamin_d, hypertension heart_disease, high_fiber_diet ketogenic_diet,37.24
meal_id56,chocolate samosa,samosa,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,18.48
meal_id201,mix fruit laccha rabri tortilla crunch,rabri,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil",veg,calcium, pregnancy hypertension scurvy heart_disease eye_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet,12.6
meal_id24,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",veg,calcium, anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,14.84
meal_id44,andhra pan fried pomfret,curry,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",veg,iron, cancer, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet,17.92
meal_id126,andhra crab meat masala,crab,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato",non-veg,potassium, anemia pregnancy cancer kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,11.200000000000001
meal_id136,malabari fish curry,curry,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,37.24
